Experiment,Scenario,Stage1,stage2_name,pipeline,EF1,Prec,Rec,AUROC,TR,DER,TTD_sec,Cavg_MACs_per_s,EUI,Stage1_calls,Stage2_calls,Stage3_calls,Top1_Acc
Stage1+Stage2+Stage3_soundscapes,busy_indoor,S1_A_energy,bcresnet_tau3,S1+S2+S3,0.15384615384600708,0.9999999999997999,0.08333333333333194,0.5513888888888889,2.2,0.004166666666666667,41.43834375,5485584.093333334,2.8045537399194614e-08,11991.0,142.0,5.0,
Stage1+Stage2+Stage3_soundscapes,busy_indoor,S1_A_energy,bcresnet_tau1,S1+S2+S3,0.18181818181801096,0.9999999999998334,0.09999999999999833,0.5509649122807018,2.2,0.014166666666666666,41.43834375,6646324.573333333,2.7356199627612173e-08,11991.0,142.0,17.0,
Stage1+Stage2+Stage3_soundscapes,busy_indoor,S1_B_energy_flux,bcresnet_tau1,S1+S2+S3,0.18181818181801096,0.9999999999998334,0.09999999999999833,0.5533187134502924,2.8,0.014166666666666666,41.43834375,7787720.1866666665,2.3346778962256675e-08,11991.0,180.0,17.0,
Stage1+Stage2+Stage3_soundscapes,busy_indoor,S1_B_energy_flux,bcresnet_tau3,S1+S2+S3,0.15384615384600708,0.9999999999997999,0.08333333333333194,0.5565789473684211,2.8,0.004166666666666667,41.43834375,6626979.706666667,2.3215123729930784e-08,11991.0,180.0,5.0,
Stage1+Stage2+Stage3_soundscapes,busy_indoor,S1_A_energy,bcresnet_tau8,S1+S2+S3,0.17142857142832163,0.59999999999994,0.09999999999999833,0.5516374269005848,2.2,0.04,41.43834375,9644904.146666666,1.7774004678684996e-08,11991.0,142.0,48.0,
Stage1+Stage2+Stage3_soundscapes,busy_indoor,S1_B_energy_flux,bcresnet_tau8,S1+S2+S3,0.19718309859128189,0.6363636363635785,0.11666666666666471,0.5564181286549708,2.8,0.056666666666666664,41.43834375,12720867.226666667,1.5500759113178094e-08,11991.0,180.0,68.0,
Stage1+Stage2+Stage3_soundscapes,busy_indoor,S1_C_sleep_aware,bcresnet_tau3,S1+S2+S3,0.3243243243240087,0.8571428571427959,0.19999999999999665,0.6973757309941521,12.3,0.0575,1.4383437500000014,24231551.733333334,1.3384381152852983e-08,11991.0,560.0,69.0,
Stage1+Stage2+Stage3_soundscapes,busy_indoor,S1_C_sleep_aware,bcresnet_tau1,S1+S2+S3,0.3209876543205957,0.6190476190475896,0.21666666666666304,0.6998172514619883,12.3,0.05583333333333333,1.4383437500000014,24038094.98666667,1.3353290038109905e-08,11991.0,560.0,67.0,
Stage1+Stage2+Stage3_soundscapes,busy_indoor,S1_A_energy,mn04_binary,S1+S2+S3,0.17910447761174783,0.8571428571427346,0.09999999999999833,0.5538742690058479,2.2,0.005833333333333334,41.43834375,16899080.906666666,1.0598474473312411e-08,11991.0,142.0,7.0,
Stage1+Stage2+Stage3_soundscapes,busy_indoor,S1_B_energy_flux,mn04_binary,S1+S2+S3,0.17910447761174783,0.8571428571427346,0.09999999999999833,0.5595614035087719,2.8,0.005833333333333334,41.43834375,21043022.453333333,8.511347550426468e-09,11991.0,180.0,7.0,
Stage1+Stage2+Stage3_soundscapes,busy_indoor,S1_C_sleep_aware,bcresnet_tau8,S1+S2+S3,0.2886597938139551,0.37837837837836813,0.23333333333332942,0.717595029239766,12.3,0.20166666666666666,1.4383437500000014,40965560.32,7.046401698380459e-09,11991.0,560.0,242.0,
Stage1+Stage2+Stage3_soundscapes,busy_indoor,S1_C_sleep_aware,mn04_binary,S1+S2+S3,0.34210526315755324,0.8124999999999493,0.21666666666666304,0.7213377192982456,12.3,0.025833333333333333,1.4383437500000014,64803918.88,5.279082948533455e-09,11991.0,560.0,31.0,
Stage1+Stage2+Stage3_soundscapes,commute_like,S1_C_sleep_aware,bcresnet_tau8,S1+S2+S3,0.09756097560925163,0.09523809523809071,0.09999999999999501,0.7666101694915254,8.7,0.12666666666666668,9.148062500000009,30427766.393333334,3.206314073405896e-09,11991.0,499.0,152.0,
Stage1+Stage2+Stage3_soundscapes,commute_like,S1_C_sleep_aware,mn04_binary,S1+S2+S3,0.16666666666637503,0.499999999999875,0.09999999999999501,0.7663135593220339,8.7,0.018333333333333333,9.148062500000009,57281246.82666667,2.9096200920819544e-09,11991.0,499.0,22.0,
Stage1+Stage2+Stage3_soundscapes,commute_like,S1_A_energy,mn04_binary,S1+S2+S3,0.0,0.0,0.0,0.4694915254237288,0.7,0.0,,8588405.76,0.0,11991.0,72.0,0.0,
Stage1+Stage2+Stage3_soundscapes,commute_like,S1_A_energy,bcresnet_tau1,S1+S2+S3,0.0,0.0,0.0,0.4694915254237288,0.7,0.0033333333333333335,116.64806250000001,3286284.8533333335,0.0,11991.0,72.0,4.0,
Stage1+Stage2+Stage3_soundscapes,commute_like,S1_A_energy,bcresnet_tau3,S1+S2+S3,0.0,0.0,0.0,0.4694915254237288,0.7,0.005833333333333334,116.64806250000001,3576469.973333333,0.0,11991.0,72.0,7.0,
Stage1+Stage2+Stage3_soundscapes,commute_like,S1_A_energy,bcresnet_tau8,S1+S2+S3,0.0,0.0,0.0,0.4694915254237288,0.7,0.018333333333333333,296.64806250000004,5027395.573333333,0.0,11991.0,72.0,22.0,
Stage1+Stage2+Stage3_soundscapes,commute_like,S1_B_energy_flux,mn04_binary,S1+S2+S3,0.0,0.0,0.0,0.43177966101694915,1.9,0.0016666666666666668,192.1480625,18487409.813333333,0.0,11991.0,161.0,2.0,
Stage1+Stage2+Stage3_soundscapes,commute_like,S1_B_energy_flux,bcresnet_tau1,S1+S2+S3,0.0,0.0,0.0,0.43177966101694915,1.9,0.008333333333333333,116.64806250000001,6539923.766666667,0.0,11991.0,161.0,10.0,
Stage1+Stage2+Stage3_soundscapes,commute_like,S1_B_energy_flux,bcresnet_tau3,S1+S2+S3,0.0,0.0,0.0,0.43177966101694915,1.9,0.010833333333333334,116.64806250000001,6830108.886666667,0.0,11991.0,161.0,13.0,
Stage1+Stage2+Stage3_soundscapes,commute_like,S1_B_energy_flux,bcresnet_tau8,S1+S2+S3,0.0,0.0,0.0,0.43177966101694915,1.9,0.04416666666666667,192.1480625,10699243.82,0.0,11991.0,161.0,53.0,
Stage1+Stage2+Stage3_soundscapes,commute_like,S1_C_sleep_aware,bcresnet_tau1,S1+S2+S3,0.0,0.0,0.0,0.6075,8.7,0.04,116.64806250000001,20368015.566666666,0.0,11991.0,499.0,48.0,
Stage1+Stage2+Stage3_soundscapes,commute_like,S1_C_sleep_aware,bcresnet_tau3,S1+S2+S3,0.0,0.0,0.0,0.7346610169491525,8.7,0.06583333333333333,116.64806250000001,23366595.14,0.0,11991.0,499.0,79.0,
Stage1+Stage2+Stage3_soundscapes,kitchen_like,S1_B_energy_flux,bcresnet_tau3,S1+S2+S3,0.437499999999504,0.5833333333332847,0.34999999999998255,0.8975635593220339,2.1,0.018333333333333333,1.5097499999999968,6409085.0,6.826247428447337e-08,11991.0,118.0,22.0,
Stage1+Stage2+Stage3_soundscapes,kitchen_like,S1_B_energy_flux,bcresnet_tau1,S1+S2+S3,0.49999999999947836,0.5624999999999649,0.44999999999997753,0.9016313559322033,2.1,0.034166666666666665,1.5097499999999968,8246924.093333334,6.062866522606525e-08,11991.0,118.0,41.0,
Stage1+Stage2+Stage3_soundscapes,kitchen_like,S1_B_energy_flux,mn04_binary,S1+S2+S3,0.6206896551719429,0.9999999999998889,0.44999999999997753,0.8895974576271186,2.1,0.0075,1.5097499999999968,14475311.413333334,4.2879191849387104e-08,11991.0,118.0,9.0,
Stage1+Stage2+Stage3_soundscapes,kitchen_like,S1_B_energy_flux,bcresnet_tau8,S1+S2+S3,0.44999999999947754,0.44999999999997753,0.44999999999997753,0.8804449152542373,2.1,0.059166666666666666,1.5097499999999968,11148775.293333333,4.0363177852240455e-08,11991.0,118.0,71.0,
Stage1+Stage2+Stage3_soundscapes,kitchen_like,S1_C_sleep_aware,bcresnet_tau1,S1+S2+S3,0.46153846153793826,0.4736842105262909,0.44999999999997753,0.8347033898305085,55.9,0.12916666666666668,1.5097499999999968,44654992.68666667,1.0335651934296408e-08,11991.0,963.0,155.0,
Stage1+Stage2+Stage3_soundscapes,kitchen_like,S1_C_sleep_aware,bcresnet_tau8,S1+S2+S3,0.43478260869514185,0.38461538461536987,0.499999999999975,0.6663983050847457,55.9,0.24666666666666667,1.0097499999999968,58293693.32666667,7.458484509785707e-09,11991.0,963.0,296.0,
Stage1+Stage2+Stage3_soundscapes,kitchen_like,S1_C_sleep_aware,mn04_binary,S1+S2+S3,0.6451612903220811,0.9090909090908265,0.499999999999975,0.6842796610169491,55.9,0.018333333333333333,1.0097499999999968,107880954.13333334,5.980307603923365e-09,11991.0,963.0,22.0,
Stage1+Stage2+Stage3_soundscapes,kitchen_like,S1_C_sleep_aware,bcresnet_tau3,S1+S2+S3,0.34999999999948256,0.34999999999998255,0.34999999999998255,0.6317796610169492,55.9,0.2633333333333333,1.5097499999999968,60228260.79333334,5.811225417922479e-09,11991.0,963.0,316.0,
Stage1+Stage2+Stage3_soundscapes,kitchen_like,S1_A_energy,mn04_binary,S1+S2+S3,0.0,0.0,0.0,0.6734322033898306,0.8,0.0,,7061690.453333333,0.0,11991.0,58.0,0.0,
Stage1+Stage2+Stage3_soundscapes,kitchen_like,S1_A_energy,bcresnet_tau1,S1+S2+S3,0.0,0.0,0.0,0.6800423728813559,0.8,0.018333333333333333,,4606881.4,0.0,11991.0,58.0,22.0,
Stage1+Stage2+Stage3_soundscapes,kitchen_like,S1_A_energy,bcresnet_tau3,S1+S2+S3,0.0,0.0,0.0,0.678728813559322,0.8,0.005,,3059227.4266666668,0.0,11991.0,58.0,6.0,
Stage1+Stage2+Stage3_soundscapes,kitchen_like,S1_A_energy,bcresnet_tau8,S1+S2+S3,0.0,0.0,0.0,0.6727966101694915,0.8,0.025,,5380708.386666667,0.0,11991.0,58.0,30.0,
Stage1+Stage2+Stage3_soundscapes,outdoor_park,S1_C_sleep_aware,bcresnet_tau8,S1+S2+S3,0.5225225225221105,0.9354838709677118,0.3624999999999955,0.6806473214285714,79.8,0.19583333333333333,34.44009374999999,57559579.54,9.077941963752408e-09,11991.0,1135.0,235.0,
Stage1+Stage2+Stage3_soundscapes,outdoor_park,S1_C_sleep_aware,bcresnet_tau3,S1+S2+S3,0.3232323232320065,0.8421052631578505,0.1999999999999975,0.4831473214285714,79.8,0.37416666666666665,34.44009374999999,78259451.43333334,4.130265639637885e-09,11991.0,1135.0,449.0,
Stage1+Stage2+Stage3_soundscapes,outdoor_park,S1_C_sleep_aware,bcresnet_tau1,S1+S2+S3,0.199999999999798,0.89999999999991,0.1124999999999986,0.46988839285714284,79.8,0.17333333333333334,34.44009374999999,54947913.46,3.639810638949747e-09,11991.0,1135.0,208.0,
Stage1+Stage2+Stage3_soundscapes,outdoor_park,S1_C_sleep_aware,mn04_binary,S1+S2+S3,0.3333333333330486,0.9999999999999376,0.1999999999999975,0.8675892857142857,79.8,0.013333333333333334,34.44009374999999,126057371.94666667,2.6442986093195553e-09,11991.0,1135.0,16.0,
Stage1+Stage2+Stage3_soundscapes,outdoor_park,S1_A_energy,mn04_binary,S1+S2+S3,0.0,0.0,0.0,0.48214285714285715,0.4,0.0,,5098770.773333333,0.0,11991.0,40.0,0.0,
Stage1+Stage2+Stage3_soundscapes,outdoor_park,S1_A_energy,bcresnet_tau1,S1+S2+S3,0.0,0.0,0.0,0.48214285714285715,0.4,0.005833333333333334,,2615294.72,0.0,11991.0,40.0,7.0,
Stage1+Stage2+Stage3_soundscapes,outdoor_park,S1_A_energy,bcresnet_tau3,S1+S2+S3,0.0,0.0,0.0,0.48214285714285715,0.4,0.0,,1938196.1066666667,0.0,11991.0,40.0,0.0,
Stage1+Stage2+Stage3_soundscapes,outdoor_park,S1_A_energy,bcresnet_tau8,S1+S2+S3,0.0,0.0,0.0,0.48214285714285715,0.4,0.0225,,4549862.1866666665,0.0,11991.0,40.0,27.0,
Stage1+Stage2+Stage3_soundscapes,outdoor_park,S1_B_energy_flux,mn04_binary,S1+S2+S3,0.0,0.0,0.0,0.5239620535714286,1.4,0.0,,12296142.933333334,0.0,11991.0,106.0,0.0,
Stage1+Stage2+Stage3_soundscapes,outdoor_park,S1_B_energy_flux,bcresnet_tau1,S1+S2+S3,0.0,0.0,0.0,0.5202120535714285,1.4,0.013333333333333334,,5468274.04,0.0,11991.0,106.0,16.0,
Stage1+Stage2+Stage3_soundscapes,outdoor_park,S1_B_energy_flux,bcresnet_tau3,S1+S2+S3,0.0,0.0,0.0,0.5227008928571428,1.4,0.004166666666666667,,4404261.933333334,0.0,11991.0,106.0,5.0,
Stage1+Stage2+Stage3_soundscapes,outdoor_park,S1_B_energy_flux,bcresnet_tau8,S1+S2+S3,0.0,0.0,0.0,0.5199888392857143,1.4,0.03666666666666667,,8176668.493333333,0.0,11991.0,106.0,44.0,
Stage1+Stage2+Stage3_soundscapes,quiet_home_day,S1_A_energy,bcresnet_tau3,S1+S2+S3,0.3999999999996693,0.9999999999999333,0.24999999999999584,0.6272076023391813,1.6,0.0125,26.934,4860921.3133333335,8.228892718392367e-08,11991.0,89.0,15.0,
Stage1+Stage2+Stage3_soundscapes,quiet_home_day,S1_A_energy,bcresnet_tau1,S1+S2+S3,0.3098591549293068,0.9999999999999091,0.18333333333333027,0.6270614035087719,1.6,0.013333333333333334,26.934,4957649.6866666665,6.250122023802054e-08,11991.0,89.0,16.0,
Stage1+Stage2+Stage3_soundscapes,quiet_home_day,S1_A_energy,bcresnet_tau8,S1+S2+S3,0.41558441558406073,0.94117647058818,0.2666666666666622,0.6263888888888889,1.6,0.03833333333333333,15.934000000000001,7859500.886666667,5.287669300846868e-08,11991.0,89.0,46.0,
Stage1+Stage2+Stage3_soundscapes,quiet_home_day,S1_B_energy_flux,bcresnet_tau3,S1+S2+S3,0.3947368421049203,0.9374999999999415,0.24999999999999584,0.6862719298245614,3.5,0.02666666666666667,26.934,10410078.126666667,3.7918720426675225e-08,11991.0,219.0,32.0,
Stage1+Stage2+Stage3_soundscapes,quiet_home_day,S1_A_energy,mn04_binary,S1+S2+S3,0.3098591549293068,0.9999999999999091,0.18333333333333027,0.6279824561403509,1.6,0.009166666666666667,26.934,11506286.453333333,2.6929553352075783e-08,11991.0,89.0,11.0,
Stage1+Stage2+Stage3_soundscapes,quiet_home_day,S1_B_energy_flux,bcresnet_tau1,S1+S2+S3,0.3055555555552692,0.9166666666665902,0.18333333333333027,0.6829385964912281,3.5,0.03666666666666667,26.934,11570818.606666667,2.640742768011415e-08,11991.0,219.0,44.0,
Stage1+Stage2+Stage3_soundscapes,quiet_home_day,S1_B_energy_flux,bcresnet_tau8,S1+S2+S3,0.4102564102560447,0.8888888888888395,0.2666666666666622,0.6839473684210526,3.5,0.08833333333333333,15.934000000000001,17567977.753333334,2.335251194055064e-08,11991.0,219.0,106.0,
Stage1+Stage2+Stage3_soundscapes,quiet_home_day,S1_B_energy_flux,mn04_binary,S1+S2+S3,0.3098591549293068,0.9999999999999091,0.18333333333333027,0.6897953216374269,3.5,0.009166666666666667,26.934,25682928.586666666,1.206479058194986e-08,11991.0,219.0,11.0,
Stage1+Stage2+Stage3_soundscapes,quiet_home_day,S1_C_sleep_aware,bcresnet_tau1,S1+S2+S3,0.6292134831456138,0.9655172413792771,0.46666666666665885,0.8236111111111111,92.7,0.17333333333333334,1.434000000000001,56720080.333333336,1.109331086006655e-08,11991.0,1194.0,208.0,
Stage1+Stage2+Stage3_soundscapes,quiet_home_day,S1_C_sleep_aware,bcresnet_tau8,S1+S2+S3,0.6938775510199191,0.8947368421052395,0.5666666666666572,0.8000877192982456,92.7,0.27666666666666667,0.934000000000001,68714398.62666667,1.00979935048233e-08,11991.0,1194.0,332.0,
Stage1+Stage2+Stage3_soundscapes,quiet_home_day,S1_C_sleep_aware,bcresnet_tau3,S1+S2+S3,0.6336633663361387,0.7804878048780297,0.5333333333333244,0.7471198830409357,92.7,0.3575,1.434000000000001,78097050.84,8.113793792730352e-09,11991.0,1194.0,429.0,
