Experiment,Scenario,Stage1,stage2_name,pipeline,EF1,Prec,Rec,AUROC,TR,DER,TTD_sec,Cavg_MACs_per_s,EUI,Stage1_calls,Stage2_calls,Stage3_calls,Top1_Acc
Stage1+Stage2+Stage3_soundscapes,quiet_home_day,S1_C_sleep_aware,mn04_binary,S1+S2+S3,0.6666666666662074,0.9999999999999667,0.4999999999999917,0.7461842105263158,92.7,0.025,0.43400000000000105,133845583.68,4.98086412966814e-09,11991.0,1194.0,30.0,
Stage1+Stage2+Stage3_soundscapes,sleep_night,S1_A_energy,bcresnet_tau1,S1+S2+S3,0.6666666666661778,0.9999999999999,0.499999999999975,0.8,0.2,0.008333333333333333,0.8643437499999891,2064451.4933333334,3.229267768310483e-07,11991.0,12.0,10.0,
Stage1+Stage2+Stage3_soundscapes,sleep_night,S1_A_energy,bcresnet_tau3,S1+S2+S3,0.6206896551719429,0.9999999999998889,0.44999999999997753,0.8,0.2,0.0075,0.8643437499999891,1967723.12,3.154354638938952e-07,11991.0,12.0,9.0,
Stage1+Stage2+Stage3_soundscapes,sleep_night,S1_A_energy,bcresnet_tau8,S1+S2+S3,0.6666666666661778,0.9999999999999,0.499999999999975,0.8,0.2,0.01,0.8643437499999891,2257908.24,2.952585294901877e-07,11991.0,12.0,12.0,
Stage1+Stage2+Stage3_soundscapes,sleep_night,S1_B_energy_flux,bcresnet_tau1,S1+S2+S3,0.6666666666661778,0.9999999999999,0.499999999999975,0.7960169491525424,0.4,0.010833333333333334,0.8643437499999891,2955371.1466666665,2.2557798448364242e-07,11991.0,32.0,13.0,
Stage1+Stage2+Stage3_soundscapes,sleep_night,S1_B_energy_flux,bcresnet_tau3,S1+S2+S3,0.6206896551719429,0.9999999999998889,0.44999999999997753,0.7951694915254237,0.4,0.009166666666666667,0.8643437499999891,2761914.4,2.2473167711929916e-07,11991.0,32.0,11.0,
Stage1+Stage2+Stage3_soundscapes,sleep_night,S1_B_energy_flux,bcresnet_tau8,S1+S2+S3,0.6666666666661778,0.9999999999999,0.499999999999975,0.7966101694915254,0.4,0.015,0.8643437499999891,3439013.013333333,1.9385406919992942e-07,11991.0,32.0,18.0,
Stage1+Stage2+Stage3_soundscapes,sleep_night,S1_C_sleep_aware,bcresnet_tau1,S1+S2+S3,0.6060606060600918,0.7692307692307101,0.499999999999975,0.6344915254237288,95.7,0.1975,0.8643437499999891,59675386.79333334,1.0155956058717966e-08,11991.0,1199.0,237.0,
Stage1+Stage2+Stage3_soundscapes,sleep_night,S1_C_sleep_aware,bcresnet_tau8,S1+S2+S3,0.5405405405400145,0.5882352941176126,0.499999999999975,0.8153389830508475,95.7,0.19666666666666666,0.8643437499999891,59578658.42,9.072720918444852e-09,11991.0,1199.0,236.0,
Stage1+Stage2+Stage3_soundscapes,sleep_night,S1_C_sleep_aware,bcresnet_tau3,S1+S2+S3,0.5142857142851951,0.59999999999996,0.44999999999997753,0.4398728813559322,95.7,0.425,0.8643437499999891,86082232.71333334,5.974353801879688e-09,11991.0,1199.0,510.0,
Stage1+Stage2+Stage3_soundscapes,sleep_night,S1_A_energy,mn04_binary,S1+S2+S3,0.0,0.0,0.0,0.8,0.2,0.0,,2045340.16,0.0,11991.0,12.0,0.0,
Stage1+Stage2+Stage3_soundscapes,sleep_night,S1_B_energy_flux,mn04_binary,S1+S2+S3,0.0,0.0,0.0,0.7872033898305085,0.4,0.0,,4226362.026666666,0.0,11991.0,32.0,0.0,
Stage1+Stage2+Stage3_soundscapes,sleep_night,S1_C_sleep_aware,mn04_binary,S1+S2+S3,0.0,0.0,0.0,0.07199152542372882,95.7,0.0033333333333333335,,131875901.44,0.0,11991.0,1199.0,4.0,
Stage1+Stage3_soundscapes,busy_indoor,S1_A_energy,,S1+S3,0.1599999999996757,0.3999999999999733,0.09999999999999833,0.552733918128655,2.2,0.11833333333333333,41.43834375,14472156.053333333,1.1055712736239002e-08,11991.0,0.0,142.0,
Stage1+Stage3_soundscapes,busy_indoor,S1_B_energy_flux,,S1+S3,0.18421052631545223,0.4374999999999727,0.11666666666666471,0.5581432748538012,2.8,0.15,41.43834375,18147834.24,1.015055151371342e-08,11991.0,0.0,180.0,
Stage1+Stage3_soundscapes,busy_indoor,S1_C_sleep_aware,,S1+S3,0.24778761061896654,0.2641509433962214,0.23333333333332942,0.7076827485380117,12.3,0.4666666666666667,1.4383437500000014,54904616.10666667,4.513056063220147e-09,11991.0,0.0,560.0,
Stage1+Stage3_soundscapes,commute_like,S1_C_sleep_aware,,S1+S3,0.059701492536892845,0.04255319148936079,0.09999999999999501,0.7333474576271186,8.7,0.41583333333333333,9.148062500000009,49004185.333333336,1.2182937463564577e-09,11991.0,0.0,499.0,
Stage1+Stage3_soundscapes,commute_like,S1_A_energy,,S1+S3,0.0,0.0,0.0,0.4694915254237288,0.7,0.06,77.14806250000001,7701169.92,0.0,11991.0,0.0,72.0,
Stage1+Stage3_soundscapes,commute_like,S1_B_energy_flux,,S1+S3,0.0,0.0,0.0,0.43177966101694915,1.9,0.13416666666666666,76.64806250000001,16309995.146666666,0.0,11991.0,0.0,161.0,
Stage1+Stage3_soundscapes,kitchen_like,S1_B_energy_flux,,S1+S3,0.48780487804825706,0.47619047619045357,0.499999999999975,0.8984957627118644,2.1,0.09833333333333333,1.5097499999999968,12150675.093333334,4.014631897415306e-08,11991.0,0.0,118.0,
Stage1+Stage3_soundscapes,kitchen_like,S1_A_energy,,S1+S3,0.06666666666621779,0.09999999999999,0.049999999999997505,0.6798305084745763,0.8,0.04833333333333333,6.009749999999997,6346972.693333333,1.0503695208306541e-08,11991.0,0.0,58.0,
Stage1+Stage3_soundscapes,kitchen_like,S1_C_sleep_aware,,S1+S3,0.36065573770446546,0.26829268292682273,0.5499999999999725,0.7060593220338983,55.9,0.8025,1.0097499999999968,93886150.56,3.8414157525180516e-09,11991.0,0.0,963.0,
Stage1+Stage3_soundscapes,outdoor_park,S1_B_energy_flux,,S1+S3,0.09523809523800227,0.99999999999975,0.04999999999999938,0.5243191964285714,1.4,0.08833333333333333,3.9400937499999884,10989934.613333333,8.665938296162055e-09,11991.0,0.0,106.0,
Stage1+Stage3_soundscapes,outdoor_park,S1_C_sleep_aware,,S1+S3,0.7080745341609818,0.7037037037036951,0.7124999999999911,0.8931919642857142,79.8,0.9458333333333333,0.9400937499999884,110523430.77333333,6.406555869706347e-09,11991.0,0.0,1135.0,
Stage1+Stage3_soundscapes,outdoor_park,S1_A_energy,,S1+S3,0.0,0.0,0.0,0.48214285714285715,0.4,0.03333333333333333,,4605861.973333334,0.0,11991.0,0.0,40.0,
Stage1+Stage3_soundscapes,quiet_home_day,S1_A_energy,,S1+S3,0.41558441558406073,0.94117647058818,0.2666666666666622,0.6272222222222222,1.6,0.07416666666666667,15.934000000000001,9345552.266666668,4.4468684538456884e-08,11991.0,0.0,89.0,
Stage1+Stage3_soundscapes,quiet_home_day,S1_B_energy_flux,,S1+S3,0.4102564102560447,0.8888888888888395,0.2666666666666622,0.6885380116959064,3.5,0.1825,15.934000000000001,21920240.8,1.871587150885882e-08,11991.0,0.0,219.0,
Stage1+Stage3_soundscapes,quiet_home_day,S1_C_sleep_aware,,S1+S3,0.5223880597009901,0.4729729729729666,0.5833333333333236,0.8084210526315789,92.7,0.995,0.43400000000000105,116230404.8,4.494418311627442e-09,11991.0,0.0,1194.0,
Stage1+Stage3_soundscapes,sleep_night,S1_A_energy,,S1+S3,0.6666666666661778,0.9999999999999,0.499999999999975,0.8,0.2,0.01,0.8643437499999891,1897467.52,3.513454958460516e-07,11991.0,0.0,12.0,
Stage1+Stage3_soundscapes,sleep_night,S1_B_energy_flux,,S1+S3,0.6666666666661778,0.9999999999999,0.499999999999975,0.7957627118644067,0.4,0.02666666666666667,0.8643437499999891,3832034.986666667,1.739719676322904e-07,11991.0,0.0,32.0,
Stage1+Stage3_soundscapes,sleep_night,S1_C_sleep_aware,,S1+S3,0.499999999999475,0.499999999999975,0.499999999999975,0.5636016949152542,95.7,0.9991666666666666,0.8643437499999891,116714046.66666667,4.283974502464699e-09,11991.0,0.0,1199.0,
Stage2+Stage3_single_clips,,,bcresnet_tau3,S2+S3_single_clip,0.891566265059743,0.992337164750954,0.8093749999999974,0.9024162946428571,,,,6796443.52,1.3118129539900053e-07,0.0,2000.0,550.0,
Stage2+Stage3_single_clips,,,bcresnet_tau1,S2+S3_single_clip,0.9579288025884942,0.9932885906040234,0.924999999999997,0.9179166666666667,,,,8363443.168,1.1453761128594713e-07,0.0,2000.0,820.0,
Stage2+Stage3_single_clips,,,bcresnet_tau8,S2+S3_single_clip,0.9648562300314459,0.9869281045751601,0.943749999999997,0.9261774553571429,,,,9512576.2432,1.0142953973390403e-07,0.0,2000.0,1018.0,
Stage2+Stage3_single_clips,,,mn04_binary,S2+S3_single_clip,0.9905956112847633,0.9937106918238962,0.9874999999999968,0.9998307291666667,,,,15007156.6944,6.600821404459709e-08,0.0,2000.0,331.0,
Stage2+Stage3_soundscapes,busy_indoor,,bcresnet_tau1,S2+S3,0.5054945054940451,0.7419354838709439,0.3833333333333269,0.7896052631578947,,0.13333333333333333,1.4383437500000014,51520611.733333334,9.81150045559329e-09,0.0,1200.0,160.0,
Stage2+Stage3_soundscapes,busy_indoor,,bcresnet_tau3,S2+S3,0.482758620689216,0.777777777777749,0.34999999999999415,0.7435380116959064,,0.2725,1.4383437500000014,67674250.08,7.133564392934253e-09,0.0,1200.0,327.0,
Stage2+Stage3_soundscapes,busy_indoor,,bcresnet_tau8,S2+S3,0.4587155963297719,0.5102040816326426,0.4166666666666597,0.8690789473684211,,0.2816666666666667,1.4383437500000014,68738262.18666667,6.673366211733385e-09,0.0,1200.0,338.0,
Stage2+Stage3_soundscapes,busy_indoor,,mn04_binary,S2+S3,0.5287356321834679,0.8518518518518203,0.3833333333333269,0.8804093567251462,,0.035833333333333335,1.4383437500000014,135020632.05333334,3.915961761863302e-09,0.0,1200.0,43.0,
Stage2+Stage3_soundscapes,commute_like,,bcresnet_tau8,S2+S3,0.08695652173863518,0.07692307692307397,0.09999999999999501,0.9453813559322034,,0.24166666666666667,9.148062500000009,64095300.266666666,1.3566754719434195e-09,0.0,1200.0,290.0,
Stage2+Stage3_soundscapes,commute_like,,mn04_binary,S2+S3,0.16666666666637503,0.499999999999875,0.09999999999999501,0.9591525423728814,,0.0275,9.148062500000009,134053348.32,1.2432861152302103e-09,0.0,1200.0,33.0,
Stage2+Stage3_soundscapes,commute_like,,bcresnet_tau1,S2+S3,0.0,0.0,0.0,0.3511016949152542,,0.1825,116.64806250000001,57227585.76,0.0,0.0,1200.0,219.0,
Stage2+Stage3_soundscapes,commute_like,,bcresnet_tau3,S2+S3,0.0,0.0,0.0,0.7723305084745763,,0.38916666666666666,116.64806250000001,81216222.34666666,0.0,0.0,1200.0,467.0,
Stage2+Stage3_soundscapes,kitchen_like,,bcresnet_tau1,S2+S3,0.46153846153793826,0.4736842105262909,0.44999999999997753,0.7904237288135593,,0.16833333333333333,1.5097499999999968,55583203.413333334,8.303559946082994e-09,0.0,1200.0,202.0,
Stage2+Stage3_soundscapes,kitchen_like,,bcresnet_tau8,S2+S3,0.43478260869514185,0.38461538461536987,0.499999999999975,0.5849576271186441,,0.29,1.0097499999999968,69705545.92,6.237417739961972e-09,0.0,1200.0,348.0,
Stage2+Stage3_soundscapes,kitchen_like,,mn04_binary,S2+S3,0.6451612903220811,0.9090909090908265,0.499999999999975,0.605,,0.019166666666666665,1.0097499999999968,133086064.58666667,4.8476998123417135e-09,0.0,1200.0,23.0,
Stage2+Stage3_soundscapes,kitchen_like,,bcresnet_tau3,S2+S3,0.34999999999948256,0.34999999999998255,0.34999999999998255,0.5413135593220338,,0.32,1.5097499999999968,73187767.36,4.782219934075641e-09,0.0,1200.0,384.0,
Stage2+Stage3_soundscapes,outdoor_park,,bcresnet_tau8,S2+S3,0.5225225225221105,0.9354838709677118,0.3624999999999955,0.6701339285714286,,0.20333333333333334,34.44009374999999,59645795.093333334,8.76042513482251e-09,0.0,1200.0,244.0,
Stage2+Stage3_soundscapes,outdoor_park,,bcresnet_tau3,S2+S3,0.3232323232320065,0.8421052631578505,0.1999999999999975,0.4669196428571429,,0.3825,34.44009374999999,80442395.36,4.018183717496979e-09,0.0,1200.0,459.0,
Stage2+Stage3_soundscapes,outdoor_park,,bcresnet_tau1,S2+S3,0.199999999999798,0.89999999999991,0.1124999999999986,0.4480022321428571,,0.17416666666666666,34.44009374999999,56260302.02666666,3.554904484959938e-09,0.0,1200.0,209.0,
Stage2+Stage3_soundscapes,outdoor_park,,mn04_binary,S2+S3,0.3333333333330486,0.9999999999999376,0.1999999999999975,0.8715848214285714,,0.013333333333333334,34.44009374999999,132408965.97333333,2.517452884574151e-09,0.0,1200.0,16.0,
Stage2+Stage3_soundscapes,quiet_home_day,,bcresnet_tau1,S2+S3,0.6292134831456138,0.9655172413792771,0.46666666666665885,0.8229093567251462,,0.17416666666666666,1.434000000000001,56260302.02666666,1.1183969166169328e-08,0.0,1200.0,209.0,
Stage2+Stage3_soundscapes,quiet_home_day,,bcresnet_tau8,S2+S3,0.6799999999995063,0.8499999999999787,0.5666666666666572,0.7981140350877193,,0.2816666666666667,0.934000000000001,68738262.18666667,9.892598072277243e-09,0.0,1200.0,338.0,
Stage2+Stage3_soundscapes,quiet_home_day,,bcresnet_tau3,S2+S3,0.6336633663361387,0.7804878048780297,0.5333333333333244,0.7455409356725147,,0.3575,1.434000000000001,77540544.16,8.172026301861058e-09,0.0,1200.0,429.0,
Stage2+Stage3_soundscapes,quiet_home_day,,mn04_binary,S2+S3,0.6666666666662074,0.9999999999999667,0.4999999999999917,0.7439766081871345,,0.025,0.43400000000000105,133763163.2,4.983933175005893e-09,0.0,1200.0,30.0,
Stage2+Stage3_soundscapes,sleep_night,,bcresnet_tau1,S2+S3,0.6060606060600918,0.7692307692307101,0.499999999999975,0.6338559322033899,,0.19833333333333333,0.8643437499999891,59065424.85333333,1.0260835464487294e-08,0.0,1200.0,238.0,
Stage2+Stage3_soundscapes,sleep_night,,bcresnet_tau8,S2+S3,0.5405405405400145,0.5882352941176126,0.499999999999975,0.8145338983050847,,0.1975,0.8643437499999891,58968696.48,9.166567565612475e-09,0.0,1200.0,237.0,
Stage2+Stage3_soundscapes,sleep_night,,bcresnet_tau3,S2+S3,0.5142857142851951,0.59999999999996,0.44999999999997753,0.43940677966101693,,0.425,0.8643437499999891,85375542.4,6.0238061138829735e-09,0.0,1200.0,510.0,
Stage2+Stage3_soundscapes,sleep_night,,mn04_binary,S2+S3,0.0,0.0,0.0,0.07114406779661017,,0.0033333333333333335,,131248225.49333334,0.0,0.0,1200.0,4.0,
Stage3_single_clips,,,,S3_single_clip,0.9859154929572433,0.9874608150470188,0.9843749999999969,0.9998214285714285,,,,11607404.8,8.493849486124954e-08,0.0,0.0,2000.0,0.985
Stage3_soundscapes,busy_indoor,,,S3,0.36496350364913743,0.32467532467532045,0.4166666666666597,0.8898976608187135,,1.0,1.4383437500000014,116074048.0,3.1442299974679737e-09,0.0,0.0,1200.0,
Stage3_soundscapes,commute_like,,,S3,0.0533333333329408,0.0363636363636357,0.09999999999999501,0.8776694915254237,,1.0,9.148062500000009,116074048.0,4.594768102938979e-10,0.0,0.0,1200.0,
Stage3_soundscapes,kitchen_like,,,S3,0.3235294117642811,0.22916666666666188,0.5499999999999725,0.6263135593220339,,1.0,1.0097499999999968,116074048.0,2.787267415402633e-09,0.0,0.0,1200.0,
Stage3_soundscapes,outdoor_park,,,S3,0.703030303029795,0.6823529411764626,0.724999999999991,0.8987276785714285,,1.0,0.4400937499999884,116074048.0,6.056739772096127e-09,0.0,0.0,1200.0,
Stage3_soundscapes,quiet_home_day,,,S3,0.5147058823524405,0.4605263157894677,0.5833333333333236,0.8064473684210526,,1.0,0.43400000000000105,116074048.0,4.434289069960243e-09,0.0,0.0,1200.0,
Stage3_soundscapes,sleep_night,,,S3,0.499999999999475,0.499999999999975,0.499999999999975,0.5632203389830508,,1.0,0.8643437499999891,116074048.0,4.307595096532473e-09,0.0,0.0,1200.0,
